beta,std,tstat,pval,desc
0.0225361379763109,0.00836931651714327,2.69270948591191,0.00708739954646998,dml-diag_tabacco
-0.0222523986286219,0.0296055984455306,-0.751628063508417,0.452274761858384,dml-diag_calcium
0.0229767542039624,0.0161965514710894,1.41862014546588,0.156009789390798,dml-diag_vitamin_b12
0.044130329822778,0.0963792066293449,0.457882269071735,0.647037026133447,dml-n_ape4722z
0.0254626491140354,0.0133943061740824,1.90100545583354,0.0573012980006272,dml-n_ape5610c
-0.00765136599543971,0.0157317276338568,-0.486365272366711,0.626708208132334,dml-n_ape9312z
-0.00941910161828866,0.00840798097927795,-1.12025724624053,0.262604155403175,dml-pm10_mean_concentration
-0.00666111641276358,0.00419249553593691,-1.5888189637094,0.112101270605732,dml-no2_mean_concentration
0.00715460191273233,0.00741567187791442,0.964794833228853,0.334647584333523,dml-coups
0.0379773368296201,0.0277237750077152,1.36984724551586,0.170734590380333,dml-tabacco-female
0.0221343273128581,0.0130605127679346,1.69475178395759,0.0901225176270439,dml-tabacco-male
