,PC1,PC2,PC3,PC4,PC5,PC6
med21,0.8797536293986367,0.27801327056395203,-0.2060374111146902,0.2873780641869022,-0.0914430583846137,0.013128672979904568
pimp21,0.8561403448558009,0.26821322435128553,-0.00802754850604243,0.11871670576221263,0.2904492313251536,0.11879650735493667
d121,0.7023630426039071,0.577458458551032,0.2047557769714563,0.1043585233662298,0.25482414778479406,-0.011160301432664685
d921,0.7741496178222601,0.04761392909315081,-0.42802950230993625,0.3512271549623087,-0.2813351322558896,0.004333402948171035
dip_001T,-0.8842818482093184,0.17048326325333882,-0.3339276007767448,0.0013964623363392015,0.059897675631652936,0.26270874244362763
dip_200R,-0.5392148692555815,-0.6043197167937712,-0.02818707147592807,0.4672083721382681,0.3252330596920718,-0.13113853168474535
dip_300R,-0.6585153524081576,0.6046268044138354,0.30199961345089416,0.12663518167591475,-0.13979566411761177,-0.2534845106708848
dip_350R,0.34715596406002797,-0.3632020029145846,0.779732280785927,0.23423075020981793,-0.2144375287567809,0.18178951305961685
dip_500R,0.8694274282286782,-0.0014177773289782635,0.35431556127141584,-0.20109588703930006,0.11748878703163865,-0.006319639884750476
dip_600R,0.88483891299223,-0.37400120185576147,-0.013450520685209584,-0.16586309007746827,-0.0021931485507763145,-0.11972712158223742
dip_700R,0.8546950642844953,-0.2753646497600605,-0.35424517595256877,-0.14370320608114953,-0.022097128804015653,-0.07695720645607534
