variable,beta,std,zval,pval,description,dispersion,pseudo_r2,nobs
tm,0.03142288,0.016271726,1.931133763,0.053466513,fixed-poisson-all,1.052308971,0.440276834,1128
txab,-0.005355827,0.007937346,-0.674762963,0.499826375,fixed-poisson-all,1.052308971,0.440276834,1128
tnab,-0.020429247,0.011067305,-1.845909879,0.064905292,fixed-poisson-all,1.052308971,0.440276834,1128
umm,0.00107614,0.004271335,0.251944581,0.8010839,fixed-poisson-all,1.052308971,0.440276834,1128
inst,-0.03864032,0.012116004,-3.189196639,0.001426688,fixed-poisson-all,1.052308971,0.440276834,1128
rr,-0.000415448,0.000429822,-0.966558539,0.33376477,fixed-poisson-all,1.052308971,0.440276834,1128
tm,0.007301085,0.025780052,0.283206775,0.777018335,fixed-poisson-lowD,1.089822377,0.332760773,540
txab,0.005600577,0.013552301,0.413256544,0.679418665,fixed-poisson-lowD,1.089822377,0.332760773,540
tnab,-0.008873373,0.016955887,-0.523321055,0.600750851,fixed-poisson-lowD,1.089822377,0.332760773,540
umm,0.002226115,0.007227129,0.308022074,0.758065535,fixed-poisson-lowD,1.089822377,0.332760773,540
inst,-0.039519935,0.020248275,-1.951767943,0.050965762,fixed-poisson-lowD,1.089822377,0.332760773,540
rr,-0.001199234,0.000699629,-1.714099814,0.086510396,fixed-poisson-lowD,1.089822377,0.332760773,540
tm,0.052574016,0.02233488,2.353897429,0.018577737,fixed-poisson-highD,1.017282319,0.483677489,588
txab,-0.013851985,0.010299246,-1.344951331,0.178640952,fixed-poisson-highD,1.017282319,0.483677489,588
tnab,-0.031954902,0.01497273,-2.134206758,0.03282586,fixed-poisson-highD,1.017282319,0.483677489,588
umm,0.001339874,0.005421448,0.247143195,0.804797406,fixed-poisson-highD,1.017282319,0.483677489,588
inst,-0.032906373,0.015513241,-2.121179726,0.033906681,fixed-poisson-highD,1.017282319,0.483677489,588
rr,0.000119019,0.000548231,0.217096147,0.828133417,fixed-poisson-highD,1.017282319,0.483677489,588
inst,-0.014994301,0.002040279,-7.349141943,7.57286345521071e-11,corr-vitD-inst,,0.924828657,1128
visit,-0.004842906,0.001611553,-3.005117942,0.003412066,corr-vitD-inst,,0.924828657,1128
